hindi,english,freq
के,of,2492671
में,in,1892855
है,is,1781152
की,of,1190926
और,and,1026085
से,from,954944
का,of,933774
को,to,749052
हैं,are,641797
एक,one,591534
पर,but,458034
भी,too,348468
ने,did,344687
किया,did,344582
यह,it,308137
लिए,for,299120
था,was,294623
इस,this,276104
गया,went,255675
कि,that,248112
जाता,go,209869
ही,only,202207
जो,who,202090
रूप,form,199551
कर,tax,185062
हो,yes,183967
करने,to,170715
नहीं,no,169439
तथा,and,169407
साथ,with,164895
द्वारा,by,160228
थे,were,159076
या,or,156075
भारत,india,144338
होता,would,137519
बाद,after,131878
तक,till,131149
अपने,our,123953
दिया,gave,121500
थी,was,115588
हुआ,happened,109028
कुछ,some?,104612
इसके,its,95768
जिला,district,95569
एवं,and,95561
वह,he,95072
समय,time,87798
करते,do,87537
नाम,name,87265
वे,they,87120
हुए,happened,86755
तो,so,85123
होती,would have,84603
जा,go,84335
राज्य,state,84107
कई,many,81566
अन्य,other,80124
अधिक,more,77788
क्षेत्र,area,77030
कारण,reason,76123
प्रकार,type,75479
सबसे,to all,74383
सकता,can,73274
उनके,their,72568
होने,to be,72401
उन्होंने,they,70788
किसी,any,70182
स्थित,located,69507
भारतीय,indian,68862
जाती,caste,67571
वाले,those,67542
वर्ष,year,67121
करता,does,66949
बहुत,very,66694
होते,would have,65923
अपनी,own,65514
दो,two,64794
पहले,first,62458
गए,went,61706
हुई,hui,61627
कहा,said,61617
जब,when,60825
जैसे,as,60262
पूर्व,east,59427
इन,in,58658
गई,went,58272
ये,these,57325
लेकिन,but,56996
उन्हें,them,53734
कम,less,53108
आदि,etcetera,52852
प्राप्त,get,52243
रहा,remained,52136
अनुसार,according,52113
उसके,his,51914
रहे,are,51598
भाषा,language,51485
इसका,its,51411
सभी,all,51004
व,and,50108
तरह,kind,49799
शामिल,involved,49704
जाने,know,48590
लिये,for,48428
इसे,this,48283
बीच,between,48238
उस,that,47398
उनकी,his,47382
उत्तर,answer,47310
कोई,any,46893
लिया,taken,46617
जाते,go,46239
प्रयोग,use,44150
भाग,part,44086
करना,to do,44026
प्रमुख,chief,42915
जिसमें,in which,42789
न,no,42067
यहाँ,here,41684
लोगों,people,41532
देश,country,41235
लगभग,about,40715
उसे,him,40253
गाँव,village,40227
मुख्य,main,39835
निर्माण,construction,39828
कार्य,work,39766
दोनों,both,39530
प्रदेश,state,39495
दी,gave,39467
जिले,districts,39388
ओर,side,39275
सकते,can,39115
उपयोग,use,38978
जन्म,birth,38553
स्थान,place,38471
अलग,apart,37516
इसी,this,37321
काम,work,37000
इसकी,his,36165
शहर,city,36161
सरकार,government,35622
बार,times,35508
वाली,wali,35274
विकास,development,35191
केवल,only,35129
तीन,three,35119
दक्षिण,south,34303
कहते,says,34156
नगर,city,33964
विश्व,world,33907
लोग,people,33733
फिर,then,33430
माना,agreed,33359
करती,does,33154
विशेष,specific,32554
जीवन,life,32395
प्राचीन,ancient,32388
दौरान,during,32027
इसमें,in this,31807
कभी,sometimes,31603
मंदिर,temple,31453
जिसे,which,31170
फिल्म,movie,31095
आधार,base,31054
विभिन्न,various,30976
धर्म,religion,30426
पास,near,30417
उनका,their,30314
यहां,here,29679
प्रसिद्ध,famous,29662
राष्ट्रीय,national,29521
बना,made,29497
अनेक,many,29342
क्योंकि,because,29222
ई,e,29090
अब,now,29080
शुरू,start,28988
दिन,day,28825
शब्द,word,28570
युद्ध,war,28427
जाना,go,28165
रही,doing,28002
संवत,samvat,27781
तब,then,27060
अपना,own,26932
राजा,king,26800
जी,yes,26782
बड़े,elder,26725
काल,period,26419
विज्ञान,science,26360
हालांकि,although,26236
जिसके,whose,26216
अलावा,apart from,26080
ईसा,jesus,25960
व्यक्ति,person,25935
गयी,went,25832
नदी,river,25477
महत्वपूर्ण,important,25323
किए,did,25322
प्रदान,provide,25159
संख्या,number,25105
बन,become,25068
दूसरे,others,25066
द,the,25002
नामक,named,24640
मध्य,middle,24439
प्रथम,first,24385
सन्,year,24248
चाहिए,needed,24166
उसकी,his,24021
प्रति,per,23950
साहित्य,literature,23909
शिक्षा,education,23818
अध्ययन,study,23813
हिन्दी,hindi,23729
साल,year,23625
जिसका,whose,23518
उन,wool,23508
सकती,can,23265
अमेरिका,america,23183
संयुक्त,joint,23113
दिल्ली,delhi,22984
अन्तर्गत,under,22919
स्थापित,established,22907
वाला,one,22874
ऐसे,this way,22868
गये,went,22813
मे,in,22698
ऐसा,as such,22644
बात,talk,22618
जबकि,whereas,22565
बड़ी,big,22337
स्थापना,establishment,22224
बड़ा,big,22222
तौर,manner,22200
प्रभाव,effect,22119
मूल,original,21922
आज,today,21811
यदि,if,21743
देने,to give,21601
देशों,countries,21562
अथवा,or,21555
सिंह,lion,21527
पहली,first,21361
वर्तमान,present,21315
इतिहास,history,21270
अर्थ,meaning,21134
बनाया,made,21060
वीं,th,20985
उसने,he,20903
उच्च,high,20738
चार,four,20730
करके,by,20642
किये,did,20581
रखा,kept,20462
आम,mango,20427
काफी,enough,20331
विश्वविद्यालय,university,20328
कुल,total,20324
सेना,army,20122
लेकर,taking,20061
समूह,group,19936
प्रत्येक,everyone,19916
वर्षों,years,19860
जिससे,by which,19754
उसका,his,19740
स्थिति,situation,19696
बनाने,make,19601
बारे,about,19454
ले,take,19435
स्तर,level,19306
क्षेत्रों,areas,19297
इनके,their,19195
देता,gives,18747
उपलब्ध,available,18716
पिता,father,18672
रहता,stays,18641
परिवार,family,18579
दुनिया,world,18540
अधिकांश,most,18511
छोटे,small,18495
ब्रिटिश,british,18493
पानी,water,18292
इससे,from this,18245
माध्यम,channel,18231
पाकिस्तान,pakistan,18201
लगा,put,18160
जहाँ,where,18141
सेवा,service,18040
तहसील,tehsil,17966
इस्तेमाल,use,17941
वर्ग,social class,17941
जहां,where,17893
पश्चिम,west,17824
हर,every,17779
इसलिए,so,17747
शरीर,body,17716
जल,water,17714
होकर,through,17705
आगे,ahead,17695
सामाजिक,social,17632
उत्पन्न,yield,17479
आधुनिक,modern,17440
ए,a,17434
प्रणाली,system,17396
मण्डल,mandal,17390
दूर,away,17332
होगा,will be,17094
फ़िल्म,movie,17072
अधिकार,rights,17069
सदस्य,member,17063
समान,similar,16991
शक्ति,power,16959
अतिरिक्त,excessive,16911
सी,c,16907
रहते,live,16892
थीं,were,16887
आ,come,16862
आधारित,based,16860
विकसित,advanced,16674
समाज,society,16644
उदाहरण,example,16635
देते,giving,16629
बने,became,16585
पुरस्कार,award,16564
सामान्य,general,16549
संगीत,music,16544
श्री,mister,16528
सभा,gathering,16521
जिनमें,in which,16431
जारी,ongoing,16253
कंपनी,company,16140
शताब्दी,century,16124
ऊपर,above,16106
शासन,government,16052
भूमिका,role,15961
रंग,colour,15928
बाहर,outside,15916
राजधानी,capital,15880
संघ,union,15844
मानव,human,15747
अंत,ending,15738
दे,give,15665
पश्चिमी,western,15655
प्रकाशित,published,15621
पता,address,15620
जिस,that,15597
भिन्न,different,15496
मृत्यु,death,15473
भगवान,god,15448
उत्तरी,northern,15395
पूरी,complete,15360
ध्यान,attention,15289
घर,home,15267
विचार,idea,15149
मात्रा,amount,15096
बनी,bunny,15077
देखा,saw,15076
पहला,first,15067
चीन,china,15042
संबंध,relationship,15039
पूर्वी,eastern,15001
स्टेशन,station,14915
नए,new,14780
विषय,subject,14740
रचना,composition,14717
ऑफ,off,14711
इनमें,among these,14606
कला,art,14510
स्वयं,self,14500
वहाँ,there,14494
तैयार,ready,14492
होना,happen,14454
दूसरी,second,14424
ज्ञान,knowledge,14385
नीचे,below,14368
ऐसी,such,14362
पृथ्वी,earth,14352
व्यवस्था,arrangement,14320
प्रक्रिया,process,14289
रेलवे,railway,14276
प्रकाश,light,14096
